model	activity_id	table_id	variable_id	experiment_id	member_id
" 'MCM-UA-1-0',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MIROC-ES2H',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MIROC-ES2L',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MIROC6',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MPI-ESM-1-2-HAM',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MPI-ESM1-2-HR',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MPI-ESM1-2-LR',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MPI-ESM1-2-XR',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MRI-AGCM3-2-H',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MRI-AGCM3-2-S',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'MRI-ESM2-0',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'NESM3',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'NorCPM1',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'NorESM1-F',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'NorESM2-LM',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'NorESM2-MM',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'SAM0-UNICON',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
" 'TaiESM1',"	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
 'UKESM1-0-LL'	ScenarioMIP	Amon	pr	ssp585	r1i1p1f1
